Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_49_818.jpg,-7.250051,0,1,0,99.67027,85.58946,-0.005270987,56.8237,1.08E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_49_897.jpg,-3.620512,0,1,0,99.67027,85.58946,-0.005269261,56.8237,4.65E-06
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_49_940.jpg,-1.758749,0,1,0,99.67027,85.58946,-0.005197656,56.8237,1.65E-06
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_020.jpg,0,0,1,0,99.67027,85.58947,-0.004927071,56.8237,-3.55E-06
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_100.jpg,0,0,1,0,99.67027,85.58947,-0.00450834,56.8237,-7.76E-06
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_181.jpg,0,0,1,0,99.67028,85.58948,-0.003970178,56.8237,-1.14E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_222.jpg,0,0,1,0,99.67028,85.58949,-0.00366545,56.8237,-1.27E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_263.jpg,0,0,1,0,99.67029,85.58949,-0.003341957,56.8237,-1.39E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_303.jpg,-1.834687,0,1,0,99.67029,85.58949,-0.003003102,56.8237,-1.50E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_383.jpg,-5.433646,0,1,0,99.6703,85.58951,-0.002295095,56.8237,-1.65E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_426.jpg,-7.290329,0,1,0,99.6703,85.58951,-0.001932834,56.8237,-1.69E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_505.jpg,-3.612988,0,1,0,99.67031,85.58952,-0.001208909,56.8237,-1.69E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_546.jpg,-1.831858,0,1,0,99.67031,85.58952,-0.000852989,56.8237,-1.66E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_587.jpg,0,0,0,0,99.67031,85.58953,-0.000505498,56.8237,-1.65E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_630.jpg,0,0,0,0,99.67032,85.58954,-4.68E-06,56.8237,-1.59E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_708.jpg,0,0,0,0,99.67033,85.58955,0.000464512,56.8237,-1.49E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_750.jpg,0,0,0,0,99.67033,85.58955,0.000895177,56.8237,-1.40E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_791.jpg,0,0,0,0,99.67033,85.58955,0.001158291,56.8237,-1.31E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_832.jpg,0,0,0,0,99.67033,85.58956,0.001400394,56.8237,-1.21E-05
